kigo,pronunciation,season
愛日,あいじつ,冬
アイヌ山葵,あいぬわさび,冬
相嘗祭,あいんべのまつり,冬
青木の実,あおきのみ,冬
青頸,あおくび,冬
青首大根,あおくびだいこん,冬
石蓴,あおさ,冬
青鮫,あおざめ,冬
青写真,あおじゃしん,冬
青摺,あおずり,冬
青摺の衣,あおずりのころも,冬
青漬,あおづけ,冬
菘,あおな,冬
蔓菁,あおな,冬
青星,あおぼし,冬
青干菜,あおほしな,冬
青筵,あおむしろ,冬
赤頸かいつぶり,あかえりかいつぶり,冬
赤襟鳰,あかえりかいつぶり,冬
赤柏,あかがしわ,冬
赤蕪,あかかぶ,冬
赤狐,あかぎつね,冬
皸,あかぎれ,冬
皸薬,あかぎれぐすり,冬
赤熊,あかぐま,冬
赤海鼠,あかこ,冬
赤筋大根,あかすじだいこん,冬
暁の鉢叩,あかつきのはちたたき,冬
赤目河豚,あかめふぐ,冬
赤柏,あからがしわ,冬
明かり障子,あかりしょうじ,冬
秋田大根,あきただいこん,冬
秋無草,あきなぐさ,冬
飽海葱,あくみねぎ,冬
明の雪,あけのゆき,冬
晨風,あさかぜ,冬
朝北風,あさぎた,冬
浅き冬,あさきふゆ,冬
朝時雨,あさしぐれ,冬
朝霜,あさしも,冬
朝焚火,あさたきび,冬
浅漬,あさづけ,冬
朝の雪,あさのゆき,冬
足焙,あしあぶり,冬
葦鴨,あしがも,冬
味鴨,あじがも,冬
葦枯る,あしかる,冬
足揃,あしぞろえ,冬
足温め,あしぬくめ,冬
蘆の枯葉,あしのかれは,冬
足炉,あしろ,冬
網代,あじろ,冬
網代木,あじろぎ,冬
網代杙,あじろぐい,冬
網代簀,あじろす,冬
網代床,あじろのとこ,冬
網代守,あじろもり,冬
赤豆の粥,あずきのかゆ,冬
明日の春,あすのはる,冬
東遊,あずまあそび,冬
東コート,あずまこーと,冬
あづま障子,あずましょうじ,冬
吾妻胴着,あずまどうぎ,冬
阿知女作法,あちめわざ,冬
熱燗,あつかん,冬
厚着,あつぎ,冬
厚氷,あつごおり,冬
厚子,あつし,冬
厚司,あつし,冬
温海蕪,あつみかぶ,冬
穴熊,あなぐま,冬
貛,あなぐま,冬
穴熊打,あなぐまうち,冬
乾風,あなじ・あなし,冬
穴施行,あなせぎょう,冬
油しめ,あぶらしめ,冬
