haiku,season,author,reading,kigo
雪ながら　山本霞む　夕べかな,春,宗祇,ゆきながら　やまもとかすむ　ゆうべかな,
春の日の　威光をみする　雪間哉,春,重頼,はるのひの　いこうをみする　ゆきまかな,
鶯に　手もとと休めむ　ながしもと,春,智月尼,うぐいすに　てもととやすめむ　ながしもと,
宿の春　何もなきこそ　何もあれ,春,素堂,やどのはる　なにもなきこそ　なにもあれ,
掬ぶより　早歯にひびく　泉かな,春,芭蕉,むすぶより　はやはにひびく　いずみかな,
春なれや　名もなき山の　朝霞,春,芭蕉,はるなれや　なもなきやまの　あさがすみ,
鶯や　餅に糞する　縁の先,春,芭蕉,うぐいすや　もちにふんする　えんのさき,
古池や　蛙飛びこむ　水の音,春,芭蕉,ふるいけや　かわずとびこむ　みずのおと,
梅が香に　のつと日の出る　山路かな,春,芭蕉,うめがかに　のつとひのでる　やまじかな,梅
原中や　物にもつかず　鳴く雲雀,春,芭蕉,はらなかや　ものにもつかず　なくひばり,
何の木の　花とはしらず　匂ひ哉,春,芭蕉,なんのきの　はなとはしらず　においかな,
春の夜は　桜に明けて　仕舞ひけり,春,芭蕉,はろのよは　さくらにあけて　しまいけり,
花の雲　鐘は上野か　浅草か,春,芭蕉,はなのくも　かねはうえのか　あさくさか,
しばらくは　花の上なる　月夜かな,春,芭蕉,しばらくは　はなのうえなる　つきよかな,
花盛り　山は日ごろの　朝ぼらけ,春,芭蕉,はなざかり　やまはひごろの　あさぼらけ,
鐘消えて　花の香は撞く　夕哉,春,芭蕉,かねきえて　はなのかはつく　ゆうべかな,
落ざまに　水こぼしけり　花椿,春,芭蕉,おちざまに　みずこぼしけり　はなつばき,
よく見れば　なづな花咲く　垣根哉,春,芭蕉,よくみれば　なづなはなさく　かきねかな,
木のもとに　汁も膾も　桜かな,春,芭蕉,きのもとに　しるもなますも　さくらかな,
苔ながら　花に並ぶる　手水鉢,春,芭蕉,こけながら　はなにならぶる　ちょうずばち,
年々や　桜を肥やす　花の塵,春,芭蕉,としどしや　さくらをこやす　はなのちり,
行く春に　和歌の浦にて　御ひ付きたり,春,芭蕉,ゆくはるに　わかのうらにて　おいつきたり,
衰ひや　歯に食ひ当てし　海苔の砂,春,芭蕉,おとろひや　はにくいあてし　のりのすな,
暁の　つるべに上がる　椿かな,春,荷兮,あかつきの　つるべにあがる　つばきかな,
病僧の　庭掃く梅の　さかり哉,春,曽良,びょうそうの　にわはくうめの　さかりかな,梅
筆なくて　風を絵にかく　柳哉,春,簑笠,ふでなくて　かぜをえにかく　やなぎかな,
梅一輪　一輪ほどの　暖かさ,春,嵐雪,うめいちりん　いちりんほどの　あたたかさ,
武蔵野の　幅にはせばき　霞哉,春,嵐雪,むさしのの　はばにはせばき　かすみかな,梅
大旦　昔吹きにし　松の風,春,鬼貫,おおあした　むかしふきにし　まつのかぜ,
曙や　麦の葉末の　春の霜,春,鬼貫,あけぼのや　むぎのはずえのはるのしも,
鶯や　梅にとまるは　昔から,春,鬼貫,うぐいすや　うめにとまるは　むかしから,
花散って　又しづかなり　園城寺,春,鬼貫,はなちって　またしずかなり　おんじょうじ,
橋渡る　人にしずまる　蛙かな,春,涼菟,はしわたる　ひとにしずまる　かわずかな,
文は跡に　梅さし出す　使いかな,春,其角,ふみはあとに　うめさしだす　つかいかな,
大仏　膝埋ずむらん　花の雪,春,其角,おおぼとけ　ひざうずむらん　はなのゆき,
広き野を　ただ一のみや　雉子の声,春,野明,ひろきのを　ただひとのみや　きじのこえ,雉
