kigo,pronunciation,season
合生,あいう,春
藍植う,あいうう,春
合オーバー,あいおーばー,春
藍蒔く,あいまく,春
藍微塵,あいみじん,春
愛林日,あいりんび,春
青虻,あおあぶ,春
青芥,あおがらし,春
青木の花,あおきのはな,春
青き踏む,あおきふむ,春
青茎山葵,あおくきわさび,春
青倉海苔,あおくらのり,春
青ぐわゐ,あおぐわい,春
青慈姑,あおぐわい,春
石蓴,あおさ,春
石蓴採り,あおさとり,春
青とさか,あおとさか,春
青饅,あおぬた,春
青海苔,あおのり,春
青柴垣神事,あおふしがきしんじ,春
青麦,あおむぎ,春
青目虻,あおめあぶ,春
青眼虻,あおめあぶ,春
青柳,あおやぎ,春
青柳衣,あおやぎごろも,春
青山吹,あおやまぶき,春
わかさぎ,わかさぎ,春
むしつ汁,むしつじる,春
赤魚,あかうお,春
赤牛虻,あかうしあぶ,春
赤貝,あかがい,春
赤蛙,あかがえる,春
赤茎山葵,あかくきわさび,春
赤潮,あかしお,春
赤蛺蝶,あかたては,春
赤椿,あかつばき,春
赤つ腹,あかっぱら,春
茜すみれ,あかねすみれ,春
赤花藤,あかばなふじ,春
赤鬚,あかひげ,春
赤彦忌,あかひこき,春
赤めばる,あかめばる,春
秋珊瑚,あきさんご,春
鳳蝶,あげはちょう,春
通草咲く,あけびさく,春
通草の花,あけびのはな,春
丁翁の花,あけびのはな,春
木通の花,あけびのはな,春
山女の花,あけびのはな・やまひめのはな,春
あけびの芽漬,あけびのめづけ,春
揚雲雀,あげひばり,春
曙草,あけぼのぐさ,春
曙桜,あけぼのざくら,春
曙躑躅,あけぼのつつじ,春
朝顔蒔く,あさがおまく,春
朝霞,あさがすみ,春
浅黄桜,あさぎざくら,春
浅黄水仙,あさぎすいせん,春
浅き春,あさきはる,春
浅黄斑蝶,あさぎまだら,春
浅草海苔,あさくさのり,春
朝東風,あさごち,春
朝桜,あさざくら,春
朝鷹,あさたか,春
朝鷹狩,あさたかがり,春
浅茅が花,あさぢがはな,春
胡葱,あさつき,春
胡葱膾,あさつきなます,春
朝燕,あさつばめ,春
朝鳥狩,あさとがり,春
朝寝,あさね,春
朝雲雀,あさひばり,春
麻蒔く,あさまく,春
あさま黄楊の花,あさまつげのはな,春
薊,あざみ,春
薊の花,あざみのはな,春
海豹,あざらし,春
浅蜊,あさり,春
浅蜊売,あさりうり,春
浅蜊汁,あさりじる,春
浅蜊取,あさりとり,春
浅蜊舟,あさりぶね,春
蘆芽,あしかび,春
紫陽花の芽,あじさいのめ,春
明日葉,あしたば,春
足長蜂,あしながばち,春
蘆の錐,あしのきり,春
蘆の角,あしのつの,春
蘆の芽,あしのめ,春
蘆の若葉,あしのわかば,春
あしべ踊,あしべおどり,春
蘆辺踊,あしべおどり,春
梓の花,あずさのはな,春
翌なき春,あすなきはる,春
東をどり,あずまおどり,春
東踊,あずまおどり,春
吾妻菊,あずまぎく,春
東菊,あずまぎく,春
東彼岸,あずまひがん,春
畦青む,あぜあおむ,春
畦塗,あぜぬり,春
畦火,あぜひ,春
馬酔木の花,あせびのはな・あしびのはな,春
畦焼く,あぜやく,春
暖か,あたたか,春
仇名草,あだなぐさ,春
暑き春,あつきはる,春
後鰊,あとにしん,春
穴蜂,あなはち,春
網場,あば,春
虻,あぶ,春
油風,あぶらかぜ,春
油菜,あぶらな,春
油まぜ,あぶらまぜ,春
海女,あま,春
甘だいだい,あまだいだい,春
甘橙,あまだいだい,春
甘茶,あまちゃ,春
甘茶寺,あまちゃでら,春
