kigo,pronunciation,season
会津万歳,あいずまんざい,新年
白馬節会,あおうまのせちえ,新年
青馬祭,あおうまのまつり,新年
青柳うたふ,あおやぎうたう,新年
青山祭,あおやままつり,新年
県召,あがためし,新年
県召除目,あがためしのじもく,新年
赤祭,あかまつり,新年
秋田の鳥追,あきたのとりおい,新年
秋田万歳,あきたまんざい,新年
商初,あきないぞめ,新年
商始,あきないはじめ,新年
明きの方,あきのかた・あきのほう,新年
明くる年,あくるとし,新年
揚羽子,あげばね,新年
浅草観音追儺,あさくさかんのんついな,新年
浅草観音の亡者送り,あさくさかんのんのもうじゃおくり,新年
浅草三社権現流鏑馬,あさくささんじゃごんげんやぶさめ,新年
朝節,あさせち,新年
朝若菜,あさわかな,新年
葦索,あしのなわ,新年
赤小豆粥,あずきがゆ,新年
小豆粥,あずきがゆ,新年
赤小豆粥祝ふ,あずきがゆいわう,新年
愛宕寺牛王加持,あたごでらごおうかじ,新年
愛宕寺天狗宴,あたごでらのてんぐのさかもり,新年
愛宕の神事,あたごのしんじ,新年
愛宕の使,あたごのつかい,新年
頭正月,あたましょうがつ・かしらしょうがつ,新年
新しき年,あたらしきとし,新年
阿茶羅漬,あちゃらづけ,新年
厚昆布,あつこんぶ,新年
熱田蹈歌神事,あつたとうかしんじ,新年
熱田鬼祭,あつたのおにまつり,新年
熱田歩射神事,あつたほしゃしんじ,新年
熱田的射,あつたまとい,新年
跡着,あとぎ,新年
穴一,あないち,新年
穴一銭,あないちぜに,新年
あまみ剝,あまみはぎ,新年
飴市,あめいち,新年
天地の袋,あめつちのふくろ,新年
飴宝引,あめほうびき,新年
あらたしき年,あらたしきとし,新年
新玉,あらたま,新年
新玉の年,あらたまのとし,新年
改まる年,あらたまるとし,新年
改る年,あらたまるとし,新年
新筵,あらむしろ,新年
霰ばしり,あらればしり,新年
有馬入湯始,ありまのにゅうとうはじめ,新年
有馬の湯開,ありまのゆびらき,新年
行灯凧,あんどんだこ,新年
家の春,いえのはる,新年
庵の春,いおのはる,新年
生初,いけぞめ,新年
居籠,いごもり,新年
葦索を懸く,いさくをかく,新年
伊勢海老,いせえび,新年
伊勢海老祝ふ,いせえびいわう,新年
伊勢海老飾る,いせえびかざる,新年
伊勢暦,いせごよみ,新年
伊勢の世様,いせのよだめし,新年
伊孑志祭,いそしまつり,新年
磯菜,いそな,新年
磯菜摘,いそなつみ,新年
磯菜摘む,いそなつむ,新年
射初,いぞめ,新年
鋳初,いぞめ,新年
磯若菜,いそわかな,新年
一月場所,いちがつばしょ,新年
市神祭,いちがみまつり,新年
一の富,いちのとみ,新年
一の寅,いちのとら,新年
市始,いちはじめ,新年
一番水,いちばんみず,新年
一文凧,いちもんだこ,新年
五日,いつか,新年
五日戎,いつかえびす,新年
厳島御衣献上式,いつくしまぎょいけんじょうしき,新年
厳島神社の年越祭,いつくしまじんじゃのとしこしまつり・いつくしまじんじゃのとしこしさい,新年
厳島の御弓始,いつくしまのおんゆみはじめ,新年
伊都岐島祭,いつくしまのまつり,新年
厳島詣,いつくしままいり,新年
厳島祭,いつくしままつり,新年
一蝶忌,いっちょうき,新年
稲荷大山祭,いなりおおやまさい,新年
稲荷注連張,いなりしめはり,新年
稲荷の大山祭,いなりのおおやまさい,新年
稲荷の奉射祭,いなりのぶしゃさい,新年
稲荷山の白狐,いなりやまのしろぎつね,新年
寝挙ぐる,いねあぐる,新年
稲積む,いねつむ,新年
いねを起す,いねをおこす,新年
いねを積む,いねをつむ,新年
射遺,いのこし,新年
鋳始,いはじめ,新年
射場始,いばはじめ,新年
井開,いびらき,新年
亥巳籠,いみごもり,新年
芋頭,いもがしら,新年
芋頭祝う,いもがしらいわう,新年
芋頭祝ふ,いもがしらいわう,新年
芋の頭,いものかみ,新年
芋の頭祝う,いものかみいわう,新年
芋の頭祝ふ,いものかみいわう,新年
鋳物始,いものはじめ,新年
伊予万歳,いよまんざい,新年
煎海鼠,いりこ,新年
いろは歌留多,いろはがるた,新年
祝木,いわいぎ,新年
祝太郎,いわいたろう,新年
祝月,いわいづき,新年
祝菜,いわいな,新年
祝の杖,いわいのつえ,新年
祝箸,いわいばし,新年
祝棒,いわいぼう,新年
祝棒,いわいぼう,新年
院の拝礼,いんのはいらい,新年
魚読,うおよみ,新年
兎の吸物,うさぎのすいもの,新年
薄鮑,うすあわび,新年
臼起,うすおこし,新年
臼起し,うすおこし,新年
