kigo,pronunciation,season
藍刈,あいかり,夏
藍刈る,あいかる,夏
愛染参,あいぜんまいり,夏
愛染祭,あいぜんまつり,夏
藍蓼,あいたで,夏
藍玉,あいだま,夏
愛鳥週間,あいちょうしゅうかん,夏
藍搗,あいつき,夏
鮎並,あいなめ,夏
あいの風,あいのかぜ,夏
藍浴衣,あいゆかた,夏
あえの風,あえのかぜ,夏
青葦,あおあし,夏
青蘆,あおあし,夏
青蘆原,あおあしはら,夏
青嵐,あおあらし・せいらん,夏
青藺,あおい,夏
葵,あおい,夏
葵鬘,あおいかずら,夏
葵草,あおいぐさ,夏
青無花果,あおいちじく,夏
葵の衣,あおいのころも,夏
葵の花,あおいのはな,夏
葵祭,あおいまつり,夏
青萍,あおうきくさ,夏
青海亀,あおうみがめ,夏
青梅,あおうめ,夏
青梅煮る,あおうめにる,夏
青瓜,あおうり,夏
青楓,あおかえで,夏
青楓の衣,あおかえでのころも,夏
青蛙,あおがえる,夏
青柿,あおがき,夏
青柏祭,あおがしわまつり・せいはくさい,夏
青葛,あおかずら,夏
青黴,あおかび,夏
青蚊帳,あおがや,夏
青萱,あおがや,夏
青刈,あおがり,夏
青鱚,あおぎす,夏
青祈禱,あおぎとう,夏
青木の花,あおきのはな,夏
青き嶺,あおきみね,夏
青き紅葉,あおきもみじ,夏
青桐,あおぎり,夏
梧,あおぎり,夏
梧桐,あおぎり・ごどう,夏
青草,あおくさ,夏
青胡桃,あおくるみ,夏
青苔,あおごけ,夏
青東風,あおごち,夏
青鷺,あおさぎ,夏
蒼鷺,あおさぎ,夏
青ざし,あおざし,夏
青挿,あおざし,夏
青山椒,あおさんしょう,夏
蒿雀,あおじ,夏
青鵐,あおじ・あおしとど,夏
青潮,あおじお,夏
青紫蘇,あおじそ,夏
青歯朶,あおしだ,夏
青芝,あおしば,夏
青芒,あおすすき,夏
青薄,あおすすき,夏
青簾,あおすだれ,夏
青頭蜈蚣,あおずむかで,夏
青田,あおた,夏
青大将,あおだいしょう,夏
青田売,あおたうり,夏
青田風,あおたかぜ,夏
青田時,あおたどき,夏
青田波,あおたなみ,夏
青田面,あおたのも,夏
青玉虫,あおたまむし,夏
青田道,あおたみち,夏
青蔦,あおつた,夏
青梅雨,あおづゆ,夏
青唐辛,あおとうがらし,夏
青唐辛子,あおとうがらし,夏
青蕃椒,あおとうがらし,夏
青蜥蜴,あおとかげ,夏
青茄子,あおなす,夏
青嶺,あおね,夏
青野,あおの,夏
青葉,あおば,夏
青蠅,あおばえ,夏
蒼蠅,あおばえ,夏
青萩,あおはぎ,夏
青葉肥,あおばごえ,夏
青葉潮,あおばじお,夏
青芭蕉,あおばしょう,夏
青葉木菟,あおばずく,夏
青鳩,あおばと,夏
青葉の簾,あおばのすだれ,夏
青葉の花,あおばのはな,夏
青葉祭,あおばまつり,夏
青葉山,あおばやま,夏
青葉闇,あおばやみ,夏
青葉若葉,あおばわかば,夏
青富士,あおふじ,夏
青藤,あおふじ,夏
青葡萄,あおぶどう,夏
青べら,あおべら,夏
青鬼灯,あおほおずき,夏
青酸漿,あおほおずき,夏
青岬,あおみさき,夏
青みどろ,あおみどろ,夏
青味泥,あおみどろ,夏
青水無月,あおみなづき,夏
青麦,あおむぎ,夏
青山潮,あおやまじお,夏
青柚,あおゆ,夏
青柚子,あおゆず,夏
青林檎,あおりんご,夏
ごりじる,ごりじる,夏
ごり,ごり,夏
みずえそ,みずえそ,夏
さよみ,さよみ,夏
赤蟻,あかあり,夏
赤家蚊,あかいえか,夏
赤海亀,あかうみがめ,夏
赤鱏,あかえい,夏
赤草,あかくさ,夏
赤水母,あかくらげ,夏
赤子,あかこ,夏
藜,あかざ,夏
藜の杖,あかざのつえ,夏
明石,あかし,夏
アカシアの花,あかしあのはな,夏
赤紫蘇,あかじそ,夏
赤舌鮃,あかしたびらめ,夏
明石縮,あかしちぢみ,夏
アカシヤの花,あかしやのはな,夏
赤翡翠,あかしょうびん,夏
赤頭蜈蚣,あかずむかで,夏
県祭,あがたまつり,夏
赤手蟹,あかてがに,夏
赤茄子,あかなす,夏
赤鮠,あかはえ,夏
赤裸,あかはだか,夏
赤腹,あかはら,夏
赤腹,あかはら,夏
赤莧,あかひゆ,夏
赤富士,あかふじ,夏
赤鰤,あかぶり,夏
赤べら,あかべら,夏
赤斑蚊,あかまだらか,夏
赤蝮,あかまむし,夏
赤蜈蚣,あかむかで,夏
贖物,あがもの,夏
赤馬陸,あかやすで,夏
上蔟祝,あがりいわい,夏
上蔟団子,あがりだんご,夏
上簇団子,あがりだんご,夏
鴉銜草,あかんそう,夏
秋風近し,あきかぜちかし,夏
晶子忌,あきこき,夏
秋志,あきざし,夏
秋迫る,あきせまる,夏
秋田蕗,あきたふき,夏
秋近し,あきちかし,夏
秋月苔,あきづきのり,夏
秋隣,あきどなり,夏
秋隣る,あきとなる,夏
秋成忌,あきなりき,夏
秋の境,あきのさかい,夏
秋の隣,あきのとなり,夏
秋待つ,あきまつ,夏
秋を待つ,あきをまつ,夏
芥川忌,あくたがわき,夏
明急ぐ,あけいそぐ,夏
明智風呂,あけちぶろ,夏
揚羽蝶,あげはちょう,夏
鳳蝶,あげはちょう,夏
明早し,あけはやし,夏
明やす,あけやす,夏
明易し,あけやすし,夏
麻,あさ,夏
朝顔の苗,あさがおのなえ,夏
麻蚊帳,あさがや,夏
麻刈,あさかり,夏
麻刈る,あさかる,夏
朝菊,あさぎく,夏
浅き夏,あさきなつ,夏
朝草刈,あさくさかり,夏
浅草富士詣,あさくさふじもうで,夏
浅草祭,あさくさまつり,夏
朝曇,あさぐもり,夏
莕菜,あさざ,夏
浅沙の花,あさざのはな,夏
麻座布団,あさざぶとん,夏
麻地酒,あさじざけ,夏
朝生酒,あさじざけ,夏
浅清水,あさしみず,夏
朝清水,あさしみず,夏
麻頭巾,あさずきん,夏
朝涼,あさすず,夏
朝蟬,あさぜみ,夏
麻足袋,あさたび,夏
浅茅酒,あさぢざけ,夏
朝茶,あさちゃ,夏
浅漬茄子,あさづけなす,夏
朝凪,あさなぎ,夏
朝凪ぐ,あさなぐ,夏
朝虹,あさにじ,夏
麻の葉,あさのは,夏
麻の花,あさのはな,夏
麻の葉流す,あさのはながす,夏
朝の蛍,あさのほたる,夏
麻暖簾,あさのれん,夏
麻羽織,あさばおり,夏
麻袴,あさばかま,夏
麻畑,あさばたけ,夏
麻布,あさふ,夏
麻服,あさふく,夏
麻布団,あさぶとん,夏
薊,あざみ,夏
薊罌粟,あざみげし,夏
朝焼,あさやけ,夏
朝焼雲,あさやけぐも,夏
鰺,あじ,夏
鰺網,あじあみ,夏
葦鶯,あしうぐいす,夏
鰺売,あじうり,夏
葦五位,あしごい,夏
紫陽花,あじさい,夏
鰺刺,あじさし,夏
蘆茂る,あししげる,夏
葦雀,あしすずめ,夏
足揃,あしそろえ,夏
鰺釣,あじつり,夏
鰺の背越,あじのせごし,夏
蘆の御輿,あしのみこし,夏
葦原蟹,あしはらがに,夏
葦原雀,あしはらすずめ,夏
網代笠,あじろがさ,夏
小豆アイス,あずきあいす,夏
翌来る秋,あすきたるあき,夏
小豆の花,あずきのはな,夏
小豆蒔く,あずきまく,夏
翌は秋,あすはあき,夏
アスパラガスの花,あすぱらがすのはな,夏
汗,あせ,夏
汗しらず,あせしらず,夏
汗手貫,あせてぬき,夏
汗手拭,あせてぬぐい,夏
汗取,あせとり,夏
汗袗,あせとり,夏
汗匂ふ,あせにおう,夏
汗拭い,あせぬぐい,夏
汗拭ひ,あせぬぐい,夏
汗の香,あせのか,夏
汗のごひ,あせのごい,夏
汗の飯,あせのめし,夏
汗ばむ,あせばむ,夏
汗ふき,あせふき,夏
汗巾,あせふき,夏
汗拭,あせふき,夏
汗水,あせみず,夏
汗みどろ,あせみどろ,夏
汗疣,あせも,夏
汗疹,あせも,夏
遊び舟,あそびぶね,夏
遊び船,あそびぶね,夏
阿蘇祭,あそまつり,夏
愛宕の千日詣,あたごのせんにちもうで,夏
安達太郎,あだちたろう,夏
暑き日,あつきひ,夏
熱き日,あつきひ,夏
暑き夜,あつきよ,夏
暑苦し,あつくるし,夏
暑さ,あつさ,夏
暑さあたり,あつさあたり,夏
暑さ負け,あつさまけ,夏
暑し,あつし,夏
熱田祭,あつたまつり,夏
集め汁,あつめじる,夏
集汁,あつめじる,夏
敦盛草,あつもりそう,夏
あとさり虫,あとさりむし,夏
海鰻,あなご,夏
穴子,あなご,夏
あなご釣,あなごつり,夏
あなご鍋,あなごなべ,夏
鳳梨,あななす・ほうり,夏
あぶさ蓼,あぶさたで,夏
油汗,あぶらあせ,夏
油桐の花,あぶらぎりのはな,夏
油蟬,あぶらぜみ,夏
